episode,total_reward,avg_toxicity,epsilon,propensity_a,propensity_b
0,-73.0,0.16198753,0.995,0.6092279245045783,0.6556568186312781
1,-86.0,0.14248227,0.990025,0.17422321575783178,0.2590599001858544
2,-108.0,0.22571827,0.985074875,0.7106966391952284,0.2749636394110033
3,-54.0,0.23703325,0.9801495006250001,0.719835728464001,0.6276504532255607
4,-123.0,0.10644514,0.9752487531218751,0.39244276643034337,0.2481717740727017
5,-97.0,0.17503804,0.9703725093562657,0.3201192270743932,0.7941279139221591
6,-30.0,0.18392959,0.9655206468094844,0.6418181914781308,0.5196471268746216
7,-91.0,0.17968802,0.960693043575437,0.526098900575651,0.3245559746594324
8,-79.0,0.17033595,0.9558895783575597,0.5893458286940484,0.17866241008728945
9,-103.0,0.16993931,0.9511101304657719,0.3665104369654665,0.1479098151882704
10,-129.0,0.16426973,0.946354579813443,0.7966883168385016,0.7501364972369299
11,-52.0,0.15705965,0.9416228069143757,0.7780245803866693,0.10787927598045312
12,-74.0,0.1551901,0.9369146928798039,0.7841538932031932,0.28632411339019026
13,-129.0,0.10490891,0.9322301194154049,0.2880513723778769,0.3945229603489122
14,-89.0,0.16612141,0.9275689688183278,0.6766180487497809,0.3047718711496105
15,-125.0,0.19266045,0.9229311239742362,0.7106959813675947,0.2890263273306557
16,-136.0,0.15383893,0.918316468354365,0.3953938862854458,0.7351080541125211
17,-73.0,0.2022739,0.9137248860125932,0.5516260326596694,0.6298210574955946
18,-66.0,0.15401164,0.9091562615825302,0.1573290066706397,0.3673650729654928
19,-91.0,0.1669924,0.9046104802746175,0.16985382088516598,0.3132032560479159
20,-126.0,0.20625514,0.9000874278732445,0.6411750563877175,0.25282907877626765
21,-124.0,0.1584419,0.8955869907338783,0.16088869363852787,0.7487599406093821
22,-77.0,0.15616533,0.8911090557802088,0.5280292163711414,0.405408446115073
23,-26.0,0.17403013,0.8866535105013078,0.14853212513385963,0.2627315329229242
24,-89.0,0.22536087,0.8822202429488013,0.4944946611911464,0.5830588136314103
25,-96.0,0.12853481,0.8778091417340573,0.4264216827765629,0.2347350849035319
26,-78.0,0.12556674,0.8734200960253871,0.7340443226423943,0.17462533289618903
27,-76.0,0.18638936,0.8690529955452602,0.6466142149651096,0.19698795887901974
28,-103.0,0.13677302,0.8647077305675338,0.46839134969798224,0.16073914773380826
29,-61.0,0.10147806,0.8603841919146962,0.26049069942102854,0.11157102348946799
30,-81.0,0.22548237,0.8560822709551227,0.4570610442237405,0.631073274756108
31,-1.0,0.23255959,0.851801859600347,0.7436530338643472,0.4315379760379926
32,-46.0,0.21860008,0.8475428503023453,0.3551935098049809,0.7301204379118734
