episode,total_reward,avg_toxicity,epsilon
0,28.669361,0.13661279,0.995
1,21.787493,0.1642501,0.990025
2,23.943796,0.17112403,0.985074875
3,25.80578,0.13388439,0.9801495006250001
4,24.205069,0.16589862,0.9752487531218751
5,25.625576,0.1574884,0.9703725093562657
6,26.637217,0.15725565,0.9655206468094844
7,26.19133,0.16617334,0.960693043575437
8,25.835897,0.103282064,0.9558895783575597
9,28.976456,0.12047099,0.9511101304657719
10,26.89887,0.11202266,0.946354579813443
11,25.301414,0.12397164,0.9416228069143757
12,25.156265,0.16687469,0.9369146928798039
13,24.86503,0.16269945,0.9322301194154049
14,28.50379,0.13992417,0.9275689688183278
15,24.869383,0.2026124,0.9229311239742362
16,25.881659,0.15236685,0.918316468354365
17,29.534367,0.109312646,0.9137248860125932
18,26.87238,0.18255253,0.9091562615825302
19,28.395218,0.12209575,0.9046104802746175
20,26.490606,0.1601879,0.9000874278732445
21,26.712643,0.14574708,0.8955869907338783
22,27.853048,0.122939065,0.8911090557802088
23,26.061459,0.22877078,0.8866535105013078
24,28.219913,0.12560175,0.8822202429488013
25,25.53286,0.16934279,0.8778091417340573
26,22.94951,0.19100979,0.8734200960253871
27,31.24017,0.19519664,0.8690529955452602
28,28.019527,0.1496095,0.8647077305675338
29,26.922426,0.12155149,0.8603841919146962
30,29.440205,0.12119593,0.8560822709551227
31,29.94824,0.1510352,0.851801859600347
32,26.245697,0.15508606,0.8475428503023453
33,26.741705,0.20516592,0.8433051360508336
34,24.480165,0.21039665,0.8390886103705794
35,29.566116,0.18867773,0.8348931673187264
36,25.752256,0.18495487,0.8307187014821328
37,28.37049,0.16259025,0.8265651079747222
38,21.69731,0.26605386,0.8224322824348486
39,30.0411,0.11917806,0.8183201210226743
40,28.293056,0.15413892,0.8142285204175609
41,28.869074,0.15261859,0.810157377815473
42,25.125599,0.18748803,0.8061065909263957
43,28.344967,0.17310077,0.8020760579717637
44,30.792887,0.1741423,0.798065677681905
45,28.184925,0.16630153,0.7940753492934954
46,23.94508,0.19109848,0.7901049725470279
47,29.445707,0.17108591,0.7861544476842928
48,24.285788,0.17428425,0.7822236754458713
49,27.247694,0.16504613,0.778312557068642
50,24.84072,0.20318556,0.7744209942832988
51,27.897581,0.12204842,0.7705488893118823
52,27.63139,0.16737224,0.7666961448653229
53,25.417494,0.20165013,0.7628626641409962
54,30.288527,0.16422957,0.7590483508202912
55,25.476393,0.1804722,0.7552531090661897
56,29.188505,0.16622987,0.7514768435208588
57,25.515457,0.15969095,0.7477194593032545
58,32.674553,0.13650896,0.7439808620067382
59,29.461426,0.13077149,0.7402609576967045
60,29.691074,0.17617853,0.736559652908221
61,28.251968,0.16496067,0.7328768546436799
62,27.620983,0.13758028,0.7292124703704616
63,20.558352,0.28883296,0.7255664080186093
64,26.681772,0.1763646,0.7219385759785162
65,27.79587,0.18408263,0.7183288830986236
66,26.84338,0.22313243,0.7147372386831305
67,26.978382,0.21043235,0.7111635524897149
68,29.686676,0.15626654,0.7076077347272662
69,28.13743,0.18725143,0.7040696960536299
70,27.030203,0.25939602,0.7005493475733617
71,29.712185,0.14575629,0.697046600835495
72,31.087,0.14826007,0.6935613678313175
73,25.264486,0.24471024,0.6900935609921609
74,31.379292,0.15241417,0.6866430931872001
75,28.23075,0.1553851,0.6832098777212641
76,29.268797,0.16462412,0.6797938283326578
77,26.146175,0.18707655,0.6763948591909945
78,28.62689,0.17746228,0.6730128848950395
79,26.484348,0.24031301,0.6696478204705644
80,28.318382,0.18363242,0.6662995813682115
81,30.617865,0.1176426,0.6629680834613705
82,27.505661,0.21988678,0.6596532430440636
83,32.90405,0.14191906,0.6563549768288433
84,30.570082,0.13859849,0.653073201944699
85,32.55825,0.13883507,0.6498078359349755
86,32.069435,0.108611286,0.6465587967553006
87,27.441908,0.22116193,0.6433260027715241
88,29.268456,0.17463087,0.6401093727576664
89,34.3107,0.093785994,0.6369088258938781
